10451,18613,24733,26893,27050
10634,18828,25008,27408,27407
10682,18908,25076,28436,28638
14775,22999,26071,27991,28139
14828,23018,26090,28250,28360
14843,23037,26109,28509,28561
15880,24072,30240,29280,29299
15880,24072,30240,29280,29319
15883,24077,30257,29537,29516
15881,24073,30241,29281,29347
15875,24069,30225,29025,29110
15875,24069,30225,29025,29107
15546,23260,26356,28516,28628
15895,24087,30231,29031,29064
15938,24100,30232,29032,29149
15938,24100,30232,29032,29168
15467,23149,26233,26473,26516
14055,22247,22235,23915,24006
13507,21157,18073,18793,18762
13507,21157,18073,18793,18740
13419,21101,18041,18281,18403
13419,21101,18041,18281,18371
13422,21102,18042,18282,18318
13422,21102,18042,18282,18265
13423,21103,18043,18283,18229
13413,21091,17995,17515,17633
13413,21091,17995,17515,17568
13382,21030,17946,16746,16720
7918,7918,14074,16234,16171
7918,7918,14074,16234,16171
7918,7918,14074,16234,16324
7918,7918,14074,16234,16382
13380,21026,17930,16490,16561
13380,21026,17930,16490,16619
13382,21030,17946,16746,16735
13382,21030,17946,16746,16740
13388,21034,17962,17002,16926
13388,21034,17962,17002,16998
13391,21039,17979,17259,17367
13391,21039,17979,17259,17357
13391,21039,17979,17259,17255
13400,21048,17964,17004,16909
13394,21044,17948,16748,16703
7919,7919,14075,16235,16279
7917,7915,14059,15979,15873
7911,7911,14043,15723,15862
7917,7915,14059,15979,15893
7917,7915,14059,15979,15899
7917,7915,14059,15979,15965
7917,7915,14059,15979,15986
7917,7915,14059,15979,16041
7917,7915,14059,15979,16068
7917,7915,14059,15979,16076
7919,7919,14075,16235,16174
7919,7919,14075,16235,16208
7919,7919,14075,16235,16220
7919,7919,14075,16235,16246
13394,21044,17948,16748,16730
13400,21048,17964,17004,16906
13400,21048,17964,17004,16906
13400,21048,17964,17004,16906
13400,21048,17964,17004,16906
13400,21048,17964,17004,16906
13400,21048,17964,17004,16906
13400,21048,17964,17004,16906
13400,21048,17964,17004,16906
13400,21048,17964,17004,16906
13400,21048,17964,17004,16906
13394,21044,17948,16748,16894
7911,7911,14043,15723,15762
7908,7906,14026,15466,15499
7908,7906,14026,15466,15439
7908,7906,14026,15466,15414
7908,7906,14026,15466,15588
7917,7915,14059,15979,15893
7917,7915,14059,15979,16098
7919,7919,14075,16235,16212
13383,21031,17947,16747,16777
13383,21031,17947,16747,16867
13426,21108,18012,17772,17731
13426,21108,18012,17772,17731
13421,21099,18027,18027,18150
13509,21155,18059,18539,18566
13509,21155,18059,18539,18562
13413,21091,17995,17515,17476
13402,21052,17980,17260,17300
13394,21044,17948,16748,16863
7790,7790,13946,14186,14303
7790,7790,13946,14186,14091
7397,6883,9931,11371,11513
7397,6883,9931,11371,11513
7399,6887,9947,11627,11610
7410,6900,9948,11628,11724
7410,6900,9948,11628,11630
7408,6896,9932,11372,11513
7405,6891,9963,11883,11809
7913,7913,14057,15977,16000
13412,21090,17994,17514,17524
13518,21166,18106,19306,19373
13539,21221,18137,19817,19768
13539,21221,18137,19817,19883
13542,21222,18138,19818,19846
13542,21222,18138,19818,19765
13542,21222,18138,19818,19747
13541,21219,18123,19563,19701
13541,21219,18123,19563,19589
13541,21219,18123,19563,19530
13541,21219,18123,19563,19483
13541,21219,18123,19563,19477
13541,21219,18123,19563,19481
13541,21219,18123,19563,19495
13540,21218,18122,19562,19519
13539,21221,18137,19817,19802
13925,22115,22091,21611,21719
13933,22123,22123,22123,22109
13933,22123,22123,22123,22199
14032,22192,22156,22636,22560
14068,22258,22222,23662,23601
14248,22472,22496,24176,24195
14250,22476,22512,24432,24368
14251,22477,22513,24433,24513
14251,22477,22513,24433,24513
14251,22477,22513,24433,24440
14251,22477,22513,24433,24436
14248,22472,22496,24176,24283
14248,22472,22496,24176,24307
14077,22267,22255,24175,24317
14077,22267,22255,24175,24270
14077,22267,22255,24175,24116
14070,22262,22238,23918,23817
14070,22262,22238,23918,23817
14068,22258,22222,23662,23782
14242,22468,22480,23920,23848
14264,22488,22500,24180,24116
15745,23425,26497,26737,26678
15575,23223,26271,26991,27028
15580,23226,26286,27246,27390
15582,23230,26302,27502,27481
15578,23228,26300,27500,27471
15578,23228,26300,27500,27461
15578,23228,26300,27500,27440
15565,23211,26283,27243,27270
15558,23206,26266,26986,26918
15567,23215,26299,27499,27508
15589,23267,26315,27755,27670
10431,18655,24823,28423,28439
10431,18655,24823,28423,28439
10664,18888,25056,28176,28237
10662,18886,25042,27922,28005
10736,18928,25036,27676,27778
10742,18934,25054,27934,27963
11511,19191,25311,27951,28049
11689,19401,25569,28209,28222
11769,19449,25581,28221,28190
11772,19450,25582,28222,28175
15522,23236,26320,28000,28063
15526,23238,26322,28002,28115
15564,23210,26282,27242,27212
15556,23202,26250,26730,26814
15439,23087,26171,25451,25395
15428,23074,26122,24682,24647
13422,21102,18042,18282,18245
7905,7905,14025,15465,15463
7787,7789,13945,14185,14152
7779,7781,13913,13673,13641
7747,7717,13849,12649,12610
7403,6893,9977,12137,12263
7403,6893,9977,12137,12229
7748,7714,13834,12394,12401
7783,7783,13915,13675,13758
